product_id,avg_daily_demand,demand_volatility,unit_cost,holding_cost_rate,stockout_cost,lead_time_days,service_level_target,holding_cost_per_unit_day,annual_demand
SKU_001,61,0.4352142919229749,151.75890952605292,0.25,199.66462104925915,11,0.95,0.1039444585794883,22265
SKU_002,92,0.17999247474540087,102.66480055385608,0.25,133.42715278475546,12,0.95,0.07031835654373704,33580
SKU_003,33,0.3452665418846559,30.154084224878048,0.25,230.4996930667062,10,0.95,0.02065348234580688,12045
SKU_004,11,0.2045474901621302,53.01281177361809,0.25,126.06056073988444,26,0.95,0.03631014505042335,4015
SKU_005,98,0.23736874205941258,130.13352105002832,0.25,84.87346516301045,20,0.95,0.08913254866440296,35770
SKU_006,24,0.2868209952651108,161.33167305074244,0.25,99.91844553958992,27,0.95,0.11050114592516605,8760
SKU_007,73,0.290028867974394,174.7892732125377,0.25,220.07688464694493,13,0.95,0.11971868028256007,26645
SKU_008,48,0.15397948834795996,189.5963160232735,0.25,190.82205446138482,13,0.95,0.12986049042689965,17520
SKU_009,99,0.17930163420191517,143.16194477218824,0.25,160.03812343490034,11,0.95,0.09805612655629331,36135
SKU_010,53,0.2985530730333811,26.18993380073931,0.25,277.3301005196955,8,0.95,0.017938310822424187,19345
SKU_011,59,0.34875668530619464,76.10799369609397,0.25,180.0170052944527,14,0.95,0.052128762805543814,21535
SKU_012,13,0.2054563366576581,194.52523299762055,0.25,243.78320584027864,6,0.95,0.13323646095727434,4745
SKU_013,83,0.4184482051282947,127.62199618599533,0.25,280.4685587557792,12,0.95,0.08741232615479132,30295
SKU_014,87,0.20879485872574355,28.14091200389685,0.25,131.33258269081608,20,0.95,0.01927459726294305,31755
SKU_015,91,0.311907639716724,125.61520981949268,0.25,291.3138268160345,17,0.95,0.086037814944858,33215
SKU_016,50,0.23888205171122473,49.74804903134045,0.25,53.90910168529848,13,0.95,0.034074006185849624,18250
SKU_017,97,0.26846445545267095,72.82787144924686,0.25,53.51995567877111,23,0.95,0.049882103732360863,35405
SKU_018,90,0.36340258582459506,162.231597295617,0.25,201.48999369525285,14,0.95,0.11111753239425823,32850
SKU_019,50,0.4244879026631343,173.00694400216386,0.25,162.36266853455083,5,0.95,0.11849790685079717,18250
SKU_020,57,0.2612454756594799,140.3914254794493,0.25,216.48058915437417,16,0.95,0.09615851060236254,20805
